,total,data,pde,border
0,0.2090644107013941,0.4204918771982193,0.0570629809889942,0.1496383543685078
1,0.0472312995418906,0.0821265954524278,0.036522801220417,0.0230444973660633
2,0.0284552856907248,0.0548270171135664,0.0168539770599454,0.0136848602397367
3,0.023478780221194,0.0501360284537076,0.0107201066194102,0.0095802032295614
4,0.0209849974699318,0.0483395155146718,0.0078788783261552,0.0067365963186603
5,0.0201711506396532,0.0476379543170332,0.0062825487740337,0.0065929469862021
6,0.0194084780104458,0.0472598734125494,0.0052416851976886,0.0057238742569461
7,0.0189557638391852,0.0470023277774453,0.0045107780024409,0.0053541840205434
8,0.0188818920776247,0.0470220922678709,0.0042117511108517,0.0054118310951162
9,0.0184052389673888,0.0466568694263696,0.0035775010543875,0.0049813449475914
10,0.0186119730584323,0.0466901100054383,0.003418897697702,0.0057269099960103
11,0.0176981443166732,0.0463816984742879,0.0029688821244053,0.0037438513780944
12,0.0177653348445892,0.0462483616173267,0.002696344978176,0.0043512963718967
13,0.0178056460805237,0.0461876213550567,0.0025466233538463,0.0046826925885397
14,0.0173336080275475,0.0459733866900205,0.0022902540373615,0.0037371825700392
15,0.0176361390762031,0.0460432866960763,0.002392854070058,0.0044722754653776
16,0.0169786901585757,0.0456750192120671,0.0019492644316051,0.0033117857563775
17,0.0172366930544376,0.045689984485507,0.0019042675767559,0.0041158263577381
18,0.017254972923547,0.0456171154230833,0.0018370414141099,0.00431076068955
19,0.0169773676991462,0.045465977974236,0.0017151653429027,0.0037509586045052
20,0.0170898127555847,0.0454594822227954,0.001675601680763,0.0041343534173211
21,0.0166050647199153,0.0452686091139912,0.0015187038923613,0.0030278805425041
22,0.0169445039518177,0.0453042524680495,0.0015202641428913,0.0040089940253528
23,0.0165637584496289,0.0451855333894491,0.0013822390057612,0.0031235018128063
24,0.0164093897491693,0.0450913748890161,0.0012709208671003,0.0028658724433626
25,0.0167427070718258,0.0451992074772715,0.0013240988075267,0.0037048135371878
26,0.0166545386705547,0.0451409605517983,0.0012937608885113,0.0035288932995172
27,0.0163020911626517,0.0450265715643763,0.0010973724018549,0.0027823288741637
28,0.0160933672077953,0.0449373841285705,0.0009702671103877,0.0023724495322676
29,0.0165764858294278,0.04509022410959,0.0011111011996399,0.0035281313312589
30,0.0162170487549155,0.0449819829314947,0.0009930267411982,0.0026761357937357
31,0.0164885751157999,0.0450542620569467,0.0010180266667157,0.003393435703474
32,0.0163232853543013,0.0449869037047028,0.000914515715558,0.003068435662135
33,0.0162716706655919,0.0449824058637023,0.0009039740485604,0.0029286311498435
34,0.0160185193177312,0.044914083071053,0.0008239904273068,0.0023174835450481
35,0.0162565118446946,0.0449939711019396,0.0009170769125921,0.0028584864747244
36,0.0162264390103518,0.0449461361765861,0.0008065539371455,0.002926626059052
37,0.0160486461129039,0.044900670312345,0.000747162902262,0.0024981039779959
38,0.0161348362732678,0.0449534723162651,0.0008186672761803,0.002632368349441
39,0.016095111798495,0.0449097665771842,0.0007293103035772,0.0026462575796176
40,0.0159909055382013,0.0448888903856277,0.0007175017154077,0.0023663234431296
41,0.016128810076043,0.0449381123110652,0.0007729226542869,0.002675394025864
42,0.0160220227017998,0.0448855381086468,0.0006681561120785,0.0025123723312572
43,0.016122195534408,0.0449294723197817,0.0007110760995419,0.0027260373727767
44,0.0157996747270226,0.0448316913470625,0.0006372836141963,0.001930048175127
45,0.0163496955577284,0.0449908972159028,0.0007232692366233,0.0033349190971057
46,0.0157972774840891,0.0448163560032844,0.0006179906445322,0.0019574847763578
47,0.0160030677635222,0.044890982620418,0.0006433666084194,0.0024748533422825
48,0.0159929763711988,0.0448768187686801,0.0006307971826754,0.0024713125241396
49,0.0159711670968681,0.0448744814842939,0.0006243839114904,0.0024146349274087
50,0.0158700213581323,0.0448436683788895,0.0006150355841964,0.002151359370473
51,0.0158774692751467,0.0448475836589932,0.0005764697899576,0.0022083532457327
52,0.0159281392395496,0.0448626482114195,0.0005933872441528,0.0023283812015142
53,0.015868353061378,0.0448509733006358,0.0005923626129515,0.002161722259334
54,0.0159297833871096,0.0448508036509156,0.0005411581057705,0.0023973874206421
55,0.0158951812423765,0.0448383085057139,0.0005609468702459,0.0022862876269209
56,0.0158241083286702,0.0448656145483255,0.000639642830356,0.0019670667240279
57,0.0159492446295917,0.0448706931248307,0.0005808139761211,0.0023962259179097
58,0.0157349880971014,0.0447954342141747,0.0005000688508152,0.001909460149327
59,0.0159328641928732,0.0448570360988378,0.0005426982106291,0.0023988572624512
60,0.0158053231146186,0.044828914552927,0.0005522661353461,0.0020347877661697
61,0.01578985680826,0.0448214095085859,0.0005200762616004,0.0020280837008613
62,0.0158734857663512,0.0448267521709203,0.0005009666996193,0.0022927375416475
63,0.0157986010704189,0.0448147803172469,0.000475579816848,0.0021054421845474
